School,Phone,Rate
Brooklyn High School for Law and Technology,718-919-1256,10
International High School at Prospect Heights,718-230-6333,2
Repertory Company High School for Theatre Arts,212-382-1875,4
Thurgood Marshall Academy for Learning and Social Change,212-283-8055,3
Brooklyn Frontiers High School,718-722-4727,2
West End Secondary School,212-245-1506,7
Bard High School Early College Queens,718-361-3133,9
Academy of Hospitality and Tourism,718-564-2580,
School for Classics High School,718-277-1069,
Institute for Collaborative Education (ICE),212-475-7972,3
"Queens High School for Information, Research, and Technology",718-868-2978,3
Explorations Academy,718-893-6173,2
Fiorello H. LaGuardia High School of Music & Art and Performing Arts,212-496-0700,9
Digital Arts and Cinema Technology High School,718-694-9741,
Professional Pathways High School,718-332-6290,2
Life Academy High School for Film and Music,718-333-7750,3
"Robert F. Wagner, Jr. Secondary School for Arts and Technology",718-472-5671,
Bronx Academy of Health Careers,718-696-3340,3
Eximius College Preparatory Academy: A College Board School,718-992-7154,3
Frank McCourt High School,212-362-2015,6
Brooklyn Academy of Science and the Environment (BASE),718-230-6363,3
Hudson High School of Learning Technologies,212-488-3330,2
Scholars' Academy,718-474-6918,9
Bronx Aerospace High School,718-696-6010,2
Queens High School for the Sciences at York College,718-657-3181,10
The High School for Global Citizenship,718-230-6300,
Academy for Health Careers,718-773-0128,
Victory Collegiate High School,718-968-1530,3
Academy for Young Writers,718-688-7230,3
Millennium Brooklyn High School,718-832-4333,8
Port Richmond High School,718-420-2100,2
Frederick Douglass Academy VII High School,718-485-3789,4
The Boerum Hill School for International Studies,718-330-9390,
High School for Excellence and Innovation,212-569-1022,1
Essex Street Academy,212-475-4773,3
Mott Hall High School,212-694-6020,2
School of the Future High School,212-475-8086,8
Esperanza Preparatory Academy,212-722-6507,
International Community High School,718-665-4128,2
Life Sciences Secondary School,212-348-1694,2
Curtis High School,718-390-1800,3
Academy for Conservation and the Environment,718-968-4101,2
Abraham Lincoln High School,718-333-7400,3
High School for Violin and Dance,718-842-0687,
The Facing History School,212-757-2680,2
Westchester Square Academy,718-904-5050,3
N.Y.C. Lab School for Collaborative Studies,212-691-6119,9
Park East High School,212-831-1517,6
47 The American Sign Language and English Secondary School,917-326-6668,7
Alfred E. Smith Career and Technical Education High School,718-993-5000,2
"Brooklyn Latin School, The",718-366-0154,10
School for Excellence,718-860-1385,2
A. Philip Randolph Campus High School,212-690-6800,3
Bayside High School,718-229-7600,5
Leadership and Public Service High School,212-346-0007,
High School for Energy and Technology,718-733-3080,2
Bronx Health Sciences High School,718-904-5450,3
Kingsborough Early College School,718-333-7850,7
The Urban Assembly School for Emergency Management,212-225-0998,3
Academy for Environmental Leadership,718-381-7100,2
High School for Health Professions and Human Services,212-780-9175,4
Nelson Mandela High School,718-804-6805,
Robert F. Kennedy Community High School,718-969-5510,3
Performing Arts and Technology High School,718-688-7900,1
"Bronx School for Law, Government and Justice",718-410-3430,6
Ralph R. McKee Career and Technical Education High School,718-420-2600,3
Academy for Language and Technology,718-731-0219,3
Dr. Susan S. McKinney Secondary School of the Arts,718-834-6760,2
University Neighborhood High School,212-962-4341,5
High School for Medical Professions,718-290-8700,4
Transit Tech Career and Technical Education High School,718-647-5204,2
New Utrecht High School,718-232-2500,4
Community School for Social Justice,718-402-8481,1
International High School for Health Sciences,718-595-8600,2
Frederick Douglass Academy VI High School,718-471-2154,4
The Bronxwood Preparatory Academy,718-696-3820,
Bronx Collegiate Academy,718-410-4077,2
Urban Assembly Maker Academy,212-225-0890,3
Wadleigh Secondary School for the Performing & Visual Arts,212-749-5800,2
Marble Hill High School for International Studies,718-561-0973,5
Institute for Health Professions at Cambria Heights,718-723-7301,
East-West School of International Studies,718-353-0009,7
High School for Law and Public Service,212-342-6130,
John Dewey High School,718-373-6400,3
Khalil Gibran International Academy,718-237-2502,2
August Martin High School,718-528-2920,2
Liberation Diploma Plus High School,718-946-6812,1
"Mathematics, Science Research and Technology Magnet High School",718-978-1837,3
High School of Applied Communication,718-389-3163,3
Manhattan Village Academy,212-242-8752,9
In-Tech Academy (M.S. / High School 368),718-432-4300,3
Urban Assembly High School of Music and Art,718-858-0249,2
Robert H. Goddard High School of Communication Arts and Technology,718-848-8357,5
International High School at Lafayette,718-333-7860,2
Jamaica Gateway to the Sciences,718-480-2689,5
The Brooklyn Academy of Global Finance,718-574-3126,1
Thomas A. Edison Career and Technical Education High School,718-297-6580,6
High School for Media and Communications,212-927-1841,1
High School for Health Careers and Sciences,212-927-1841,2
"The Marie Curie School for Medicine, Nursing, and Health Professions",718-432-6491,3
Marta Valle High School,212-473-8152,1
Metropolitan Expeditionary Learning School,718-286-3500,5
"Archimedes Academy for Math, Science and Technology Applications",718-617-5046,3
High School for Service & Learning at Erasmus,718-564-2551,3
Newtown High School,718-595-8400,3
Richmond Hill High School,718-846-3335,3
Careers In Sports High School,718-292-7110,
Brooklyn Collegiate: A College Board School,718-922-1145,2
High School for Dual Language and Asian Studies,212-475-4097,10
Sunset Park High School,718-840-1900,3
Manhattan Early College School for Advertising,212-225-0880,5
Washington Heights Expeditionary Learning School (WHEELS),212-781-0524,3
Brooklyn International High School,718-643-9315,
Hostos-Lincoln Academy of Science,718-402-5640,5
Young Women's Leadership School of Brooklyn (TYWLS),718-387-5641,5
Bronx Design and Construction Academy,718-402-7690,
Mott Haven Village Preparatory High School,718-402-0571,2
High School for Innovation in Advertising and Media,718-290-8760,2
Bronx Collaborative High School,718-543-1023,
Flushing High School,718-888-7500,2
Information Technology High School,718-937-4270,5
William Cullen Bryant High School,718-721-5404,3
Kingsbridge International High School,718-329-8580,2
Gregorio Luperon High School for Science and Mathematics,212-928-1202,
Pelham Preparatory Academy,718-944-3601,4
Manhattan / Hunter Science High School,212-501-1235,9
Frederick Douglass Academy,212-491-4107,4
East Williamsburg Scholars Academy,718-387-2800,
James Madison High School,718-758-7200,4
Gaynor McCown Expeditionary Learning School,718-370-6950,5
EBC High School for Public Service-Bushwick,718-452-3440,2
The High School For Language and Diplomacy,212-253-2480,3
Collegiate Institute for Math and Science (CIMS),718-944-3635,4
Bronx Envision Academy,718-589-1590,
Bard High School Early College,212-995-8479,9
William E. Grady Career and Technical Education High School,718-332-5000,2
Harvest Collegiate High School,212-242-3384,
The School for Human Rights,718-771-4793,3
Humanities Preparatory Academy,212-929-4433,3
Origins High School,718-891-0037,3
Manhattan Business Academy,212-647-1983,4
Bronx Theatre High School,718-329-2902,2
Special Music School,212-501-3318,9
Brooklyn Theatre Arts High School,718-968-1072,3
The Cinema School,718-620-2560,3
Bedford Academy High School,718-398-3061,8
Millennium High School,212-825-9008,10
West Bronx Academy for the Future,718-563-7139,4
Renaissance High School for Musical Theater and the Arts,718-430-6390,3
Bronx Latin,718-991-6349,5
Frederick Douglass Academy II Secondary School,212-865-9260,3
Manhattan Center for Science and Mathematics,212-876-4639,7
Clara Barton High School,718-636-4900,3
Academy for Scholarship and Entrepreneurship: A College Board School,718-696-3840,2
It Takes a Village Academy,718-629-2307,5
Urban Assembly School for the Performing Arts,212-543-4460,2
Beacon High School,212-465-4230,10
The Urban Assembly School for Media Studies,212-501-1110,3
York Early College Academy,718-262-8547,8
Bronx Academy for Software Engineering (BASE),718-733-6024,3
"Queens School of Inquiry, The",718-380-6929,6
Queens High School for Language Studies,718-888-7530,5
Professional Performing Arts High School (PPAS),212-247-8652,7
High School for Community Leadership,718-558-9801,6
George Westinghouse Career and Technical Education High School,718-625-6130,3
High School of Computers and Technology,718-696-3930,4
Long Island City High School,718-545-7095,2
Pace High School,212-334-4663,4
The Urban Assembly School for Collaborative Healthcare,718-277-1572,2
Richard R. Green High School of Teaching,646-826-8174,4
Pan American International High School at Monroe,718-991-7238,3
Gotham Collaborative High School,718-597-1587,
"New Explorations into Science, Technology and Math High School (NEST+m)",212-677-5190,9
Manhattan Academy for Arts & Language,212-576-0502,2
High School for Law Enforcement and Public Safety,718-977-4800,3
Metropolitan Diploma Plus High School,718-342-6249,3
NYC iSchool,917-237-7300,9
Young Women's Leadership School of the Bronx (TYWLS),718-731-2590,6
Pathways in Technology Early College High School (P-TECH),718-221-1593,
Midwood High School,718-724-8500,6
Crotona International High School,718-561-8701,1
Pelham Lab High School,718-904-5090,2
The Laboratory School of Finance and Technology,718-585-8202,
N.Y.C. Museum School,212-675-6206,8
Eagle Academy for Young Men III,718-480-2600,3
Aviation Career & Technical Education High School,718-361-2032,7
Unity Center for Urban Technologies,212-576-0530,3
Academy of Innovative Technology,718-827-2469,3
Landmark High School,212-647-7410,2
Urban Assembly School for Criminal Justice,718-438-3893,7
Benjamin Banneker Academy,718-797-3702,4
Eagle Academy for Young Men,718-466-8000,2
Hillside Arts & Letters Academy,718-658-1249,4
Fordham Leadership Academy,718-733-5024,
Bronx Lab School,718-696-3700,2
Cypress Hills Collegiate Preparatory School,718-647-1672,3
Park Slope Collegiate,718-832-4300,3
"Young Women's Leadership School, Queens (TYWLS)",718-725-0402,7
Brooklyn Preparatory High School,718-486-2550,4
Williamsburg High School for Architecture and Design,718-388-1260,5
School for Tourism and Hospitality,718-401-4214,1
High School for Youth and Community Development at Erasmus,718-564-2470,2
Benjamin N. Cardozo High School,718-279-6500,5
East New York Family Academy,718-927-0012,5
Young Women's Leadership School (TYWLS),212-289-7593,7
Theater Arts Production Company School (TAPCo),718-584-0832,4
Fannie Lou Hamer Freedom High School,718-861-0521,2
Academy of Finance and Enterprise,718-389-3623,7
The Urban Assembly School for Law and Justice,718-858-1160,5
Humanities & Arts Magnet High School,718-978-2135,2
Bronx High School for Medical Science,718-410-4040,5
The Urban Assembly School for Green Careers,212-787-1189,2
John Adams High School,718-322-0500,3
High School of Economics and Finance,212-346-0708,4
The Urban Assembly School of Design and Construction,212-586-0981,3
Energy Tech High School,718-472-0536,4
High School of Language and Innovation,718-944-3625,
South Bronx Preparatory: A College Board School,718-292-2211,5
Brooklyn College Academy,718-853-6184,8
Rachel Carson High School for Coastal Studies,718-265-0329,4
"Heritage School, The",212-828-2858,
The High School of Fashion Industries,212-255-1235,5
International High School at LaGuardia Community College,718-392-3433,
Talent Unlimited High School,212-737-1530,7
Urban Assembly Gateway School for Technology,212-246-1041,4
Riverdale / Kingsbridge Academy (Middle School / High School 141) (RKA),718-796-8516,5
High School for Environmental Studies,212-262-8113,3
Schuylerville Preparatory High School,718-904-5080,2
CSI High School for International Studies,718-370-6900,8
Lyons Community School,718-782-0918,1
Brooklyn Technical High School,718-804-6400,10
Morris Academy for Collaborative Studies,718-617-5312,2
Brooklyn Institute for Liberal Arts (BILA),718-221-1097,3
Grover Cleveland High School,718-381-9600,5
Franklin Delano Roosevelt High School,718-621-8800,3
Queens Preparatory Academy,718-712-2304,2
The Urban Assembly Bronx Academy of Letters,718-401-4891,2
Automotive High School,718-218-9301,2
Herbert H. Lehman High School,718-904-4200,2
Spring Creek Community School,718-688-7200,3
Academy of American Studies,718-361-8786,6
Academy of Medical Technology: A College Board School,718-471-3571,3
DeWitt Clinton High School,718-543-1000,2
Epic High School - North,718-570-8230,2
East Side Community School,212-460-8467,6
Urban Assembly Institute of Math and Science for Young Women,718-260-2300,3
The Urban Assembly School of Business for Young Women,212-668-0169,2
"Celia Cruz Bronx High School of Music, The",718-329-8550,5
Pan American International High School,718-271-3602,3
High School of Hospitality Management,212-586-0963,2
Frederick Douglass Academy III Secondary School,718-538-9726,4
High School of Arts and Technology,212-501-1198,2
Newcomers High School,718-937-6005,4
Bronx High School for the Visual Arts,718-319-5160,2
Preparatory Academy for Writers: A College Board School,718-949-8405,5
Brooklyn Community Arts & Media High School (BCAM),718-230-5748,1
All City Leadership Secondary School,718-246-6500,8
Health Opportunities High School,718-401-1826,3
Gramercy Arts High School,212-253-7076,4
Brooklyn High School of the Arts,718-855-2412,4
High School for Arts and Business,718-271-8383,5
Teachers Preparatory High School,718-498-2605,3
"City Polytechnic High School of Engineering, Architecture, and Technology",718-875-1473,3
Murray Hill Academy,212-696-0195,3
Manhattan Bridges High School,212-757-5274,5
Food and Finance High School,212-586-2943,4
Urban Action Academy,718-290-8720,1
"High School for Law, Advocacy and Community Justice",212-501-1201,3
Antonia Pantoja Preparatory Academy: A College Board School,718-824-3152,3
Stephen T. Mather Building Arts & Craftsmanship High School,212-399-3520,
DreamYard Preparatory School,718-410-4242,1
Queens Technical High School,718-937-3010,3
New Design High School,212-475-4148,4
Kurt Hahn Expeditionary Learning School,718-629-1204,3
Stuyvesant High School,212-312-4800,10
Tottenville High School,718-668-8800,4
Longwood Preparatory Academy,718-860-1242,
High School for Contemporary Arts,718-944-5610,2
Bronx School of Law and Finance,718-561-0113,2
Lower Manhattan Arts Academy,212-505-0143,3
ACORN Community High School,718-789-2258,3
Astor Collegiate Academy,718-944-3418,3
Epic High School - South,718-845-1290,2
Bronx Career and College Preparatory High School,718-542-4011,2
Martin Van Buren High School,718-776-4728,
The Clinton School,212-524-4360,
Vanguard High School,212-517-5175,3
East Bronx Academy for the Future,718-861-8641,3
Excelsior Preparatory High School,718-525-6507,
Bronx Leadership Academy High School,718-299-4274,
Belmont Preparatory High School,718-733-4559,
Mott Hall V,718-620-8160,4
"The High School for Enterprise, Business and Technology",718-387-2800,2
Queens Metropolitan High School,718-286-3600,4
Community Health Academy of the Heights,212-342-6600,4
