District,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4
1,3,2013,All Students,887,307,249,28.1,266,30.0,179,20.2,193,21.8,372,41.9
1,3,2014,All Students,845,308,225,26.6,223,26.4,204,24.1,193,22.8,397,47.0
1,3,2015,All Students,765,309,221,28.9,175,22.9,168,22.0,201,26.3,369,48.2
1,3,2016,All Students,743,314,184,24.8,178,24.0,141,19.0,240,32.3,381,51.3
1,3,2017,All Students,726,312,185,25.5,166,22.9,152,20.9,223,30.7,375,51.7
1,3,2018,All Students,710,603,182,25.6,127,17.9,180,25.4,221,31.1,401,56.5
1,3,2019,All Students,686,606,129,18.8,139,20.3,176,25.7,242,35.3,418,60.9
1,4,2013,All Students,837,306,240,28.7,252,30.1,173,20.7,172,20.5,345,41.2
1,4,2014,All Students,829,313,216,26.1,209,25.2,169,20.4,235,28.3,404,48.7
1,4,2015,All Students,803,307,229,28.5,206,25.7,154,19.2,214,26.7,368,45.8
1,4,2016,All Students,750,307,244,32.5,160,21.3,131,17.5,215,28.7,346,46.1
1,4,2017,All Students,711,310,195,27.4,162,22.8,141,19.8,213,30.0,354,49.8
1,4,2018,All Students,741,600,225,30.4,169,22.8,131,17.7,216,29.1,347,46.8
1,4,2019,All Students,678,604,170,25.1,149,22.0,122,18.0,237,35.0,359,52.9
1,5,2013,All Students,780,302,315,40.4,213,27.3,136,17.4,116,14.9,252,32.3
1,5,2014,All Students,765,310,236,30.8,212,27.7,155,20.3,162,21.2,317,41.4
1,5,2015,All Students,782,316,237,30.3,156,19.9,166,21.2,223,28.5,389,49.7
1,5,2016,All Students,784,311,262,33.4,170,21.7,150,19.1,202,25.8,352,44.9
1,5,2017,All Students,717,314,225,31.4,142,19.8,156,21.8,194,27.1,350,48.8
1,5,2018,All Students,714,603,232,32.5,114,16.0,137,19.2,231,32.4,368,51.5
1,5,2019,All Students,690,603,217,31.4,123,17.8,115,16.7,235,34.1,350,50.7
1,6,2013,All Students,851,304,249,29.3,279,32.8,149,17.5,174,20.4,323,38.0
1,6,2014,All Students,744,310,188,25.3,239,32.1,122,16.4,195,26.2,317,42.6
1,6,2015,All Students,765,311,208,27.2,218,28.5,130,17.0,209,27.3,339,44.3
1,6,2016,All Students,807,313,198,24.5,235,29.1,111,13.8,263,32.6,374,46.3
1,6,2017,All Students,721,311,219,30.4,165,22.9,94,13.0,243,33.7,337,46.7
1,6,2018,All Students,772,601,263,34.1,122,15.8,147,19.0,240,31.1,387,50.1
1,6,2019,All Students,662,605,184,27.8,113,17.1,132,19.9,233,35.2,365,55.1
1,7,2013,All Students,905,305,357,39.4,248,27.4,140,15.5,160,17.7,300,33.1
1,7,2014,All Students,770,306,264,34.3,212,27.5,177,23.0,117,15.2,294,38.2
1,7,2015,All Students,697,305,247,35.4,211,30.3,135,19.4,104,14.9,239,34.3
1,7,2016,All Students,770,305,272,35.3,220,28.6,134,17.4,144,18.7,278,36.1
1,7,2017,All Students,761,310,238,31.3,201,26.4,165,21.7,157,20.6,322,42.3
1,7,2018,All Students,744,600,263,35.3,148,19.9,146,19.6,187,25.1,333,44.8
1,7,2019,All Students,710,605,196,27.6,148,20.8,131,18.5,235,33.1,366,51.5
1,8,2013,All Students,817,304,265,32.4,261,31.9,145,17.7,146,17.9,291,35.6
1,8,2014,All Students,725,299,263,36.3,252,34.8,130,17.9,80,11.0,210,29.0
1,8,2015,All Students,652,295,262,40.2,212,32.5,103,15.8,75,11.5,178,27.3
1,8,2016,All Students,604,287,271,44.9,193,32.0,84,13.9,56,9.3,140,23.2
