,Region,curr_price,sqft,1yr,2yr,3yr,4yr,5yr,Neighborhood,Median Price Per Sq Foot,,
184,Annadale,733401,2557,701085,668769,636453,604137,571821,,,Annadale,$1.96 
135,Arden Heights,479328,1457,487636.8798,497487.3749,507864.863,518422.5009,529041.7221,,,Arden Heights,$1.69 
178,Arrochar,567602,1440,576100.7802,589339.986,603685.1991,618288.4593,632951.9254,,,,
144,Arverne,338733,1393,342756.5066,347167.3472,351740.018,356380.3022,361048.8356,,,,
4,Astoria,648403,1276,664981.4635,683709.9453,702814.9895,721985.9862,741168.5341,,,Astoria,$2.83 
200,Astoria Heights,463011,1716,472271.8971,482955.4965,493998.2098,505131.5694,516287.8097,,,Auburndale,$1.03 
90,Auburndale,864626,1668,885016.8704,907992.9759,931345.3505,954752.4894,978167.5989,,,Auburndale,$1.03 
36,Bath Beach,483064,1213,495433.5354,509273.3018,523172.2855,537073.6543,550975.1192,,,Bath Beach,$2.26 
128,Battery Park City,1115314,1866,1132102.188,1156772.391,1183149.651,1209896.619,1236723.656,,,Battery Park City,$5.20 
48,Bay Ridge,530422,1656,543640.9099,558817.755,574018.7967,589220.1374,604421.4819,,,Bay Ridge,$2.60 
149,Bay Terrace,452880,1648,463304.226,475214.1821,487356.4385,499535.0161,511719.2726,,,Bay Terrace,$1.44 
187,Bay Terrace Staten Island,539713,1967,549823.2028,562058.0045,574683.9458,587381.8962,600093.1034,,,,
124,Baychester,487741,1456,495672.4511,500086.0615,502852.7094,504837.0221,506449.7122,,,,
52,Bayside,863863,1573,881122.41,902962.7016,925655.7689,948507.5888,971388.9619,,,Bayside,$2.84 
44,Bedford Park,176075,1505,180413.6269,184632.6321,188785.3392,192917.2547,197042.6499,,,Bedford Park,$2.07 
5,Bedford-Stuyvesant,981474,1784,1006794.8,1035881.813,1065508.714,1095213.01,1124928.4,,,Bedford-Stuyvesant,$2.83 
201,Belle Harbor,956924,1752,971517.968,987687.7759,1004238.847,1020882.162,1037547.795,,,Belmont,$3.20 
