school_dist_code,dbn,school_name,zipcode,Rate
16,16K498,Brooklyn High School for Law and Technology,11221,10
17,17K524,International High School at Prospect Heights,11225,2
2,02M531,Repertory Company High School for Theatre Arts,10036,4
5,05M670,Thurgood Marshall Academy for Learning and Social Change,10030,3
15,15K423,Brooklyn Frontiers High School,11201,2
3,03M291,West End Secondary School,10023,7
24,24Q299,Bard High School Early College Queens,11101,9
2,02M407,Institute for Collaborative Education (ICE),10003,3
27,27Q302,"Queens High School for Information, Research, and Technology",11691,3
12,12X251,Explorations Academy,10460,2
3,03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,10023,9
22,22K630,Professional Pathways High School,11235,2
21,21K559,Life Academy High School for Film and Music,11214,3
11,11X290,Bronx Academy of Health Careers,10467,3
9,09X250,Eximius College Preparatory Academy: A College Board School,10456,3
3,03M417,Frank McCourt High School,10024,6
17,17K547,Brooklyn Academy of Science and the Environment (BASE),11225,3
2,02M437,Hudson High School of Learning Technologies,10011,2
27,27Q323,Scholars' Academy,11694,9
11,11X545,Bronx Aerospace High School,10467,2
28,28Q687,Queens High School for the Sciences at York College,11433,10
18,18K576,Victory Collegiate High School,11236,3
19,19K404,Academy for Young Writers,11208,3
15,15K684,Millennium Brooklyn High School,11215,8
31,31R445,Port Richmond High School,10302,2
23,23K514,Frederick Douglass Academy VII High School,11212,4
6,06M423,High School for Excellence and Innovation,10034,1
2,02M294,Essex Street Academy,10002,3
5,05M304,Mott Hall High School,10030,2
2,02M413,School of the Future High School,10010,8
7,07X334,International Community High School,10454,2
2,02M655,Life Sciences Secondary School,10128,2
31,31R450,Curtis High School,10301,3
18,18K637,Academy for Conservation and the Environment,11236,2
21,21K410,Abraham Lincoln High School,11235,3
2,02M303,The Facing History School,10019,2
8,08X558,Westchester Square Academy,10461,3
2,02M412,N.Y.C. Lab School for Collaborative Studies,10011,9
4,04M495,Park East High School,10029,6
2,02M047,47 The American Sign Language and English Secondary School,10010,7
7,07X600,Alfred E. Smith Career and Technical Education High School,10451,2
14,14K449,"Brooklyn Latin School, The",11206,10
9,09X404,School for Excellence,10456,2
6,06M540,A. Philip Randolph Campus High School,10031,3
26,26Q495,Bayside High School,11361,5
10,10X565,High School for Energy and Technology,10458,2
11,11X249,Bronx Health Sciences High School,10475,3
21,21K468,Kingsborough Early College School,11214,7
2,02M135,The Urban Assembly School for Emergency Management,10038,3
32,32K403,Academy for Environmental Leadership,11237,2
32,32K403,Academy for Environmental Leadership,11237,6
32,32K168,"Brooklyn School for Math and Research (B-SMARt), The",11237,2
32,32K168,"Brooklyn School for Math and Research (B-SMARt), The",11237,6
32,32K552,The Academy of Urban Planning and Engineering,11237,2
32,32K552,The Academy of Urban Planning and Engineering,11237,6
32,32K549,"Brooklyn School for Social Justice, The",11237,2
32,32K549,"Brooklyn School for Social Justice, The",11237,6
2,02M420,High School for Health Professions and Human Services,10003,4
25,25Q670,Robert F. Kennedy Community High School,11366,3
19,19K507,Performing Arts and Technology High School,11207,1
9,09X505,"Bronx School for Law, Government and Justice",10451,6
31,31R600,Ralph R. McKee Career and Technical Education High School,10301,3
9,09X365,Academy for Language and Technology,10453,3
13,13K265,Dr. Susan S. McKinney Secondary School of the Arts,11205,2
1,01M448,University Neighborhood High School,10002,5
18,18K633,High School for Medical Professions,11236,4
19,19K615,Transit Tech Career and Technical Education High School,11208,2
20,20K445,New Utrecht High School,11214,4
7,07X427,Community School for Social Justice,10451,1
24,24Q236,International High School for Health Sciences,11373,2
27,27Q260,Frederick Douglass Academy VI High School,11691,4
9,09X227,Bronx Collegiate Academy,10457,2
2,02M282,Urban Assembly Maker Academy,10038,3
3,03M415,Wadleigh Secondary School for the Performing & Visual Arts,10026,2
10,10X477,Marble Hill High School for International Studies,10463,5
25,25Q281,East-West School of International Studies,11355,7
21,21K540,John Dewey High School,11223,3
15,15K592,Khalil Gibran International Academy,11217,2
27,27Q400,August Martin High School,11434,2
21,21K728,Liberation Diploma Plus High School,11224,1
29,29Q492,"Mathematics, Science Research and Technology Magnet High School",11411,3
24,24Q267,High School of Applied Communication,11101,3
2,02M439,Manhattan Village Academy,10010,9
10,10X368,In-Tech Academy (M.S. / High School 368),10463,3
13,13K350,Urban Assembly High School of Music and Art,11201,2
27,27Q308,Robert H. Goddard High School of Communication Arts and Technology,11417,5
21,21K337,International High School at Lafayette,11214,2
28,28Q350,Jamaica Gateway to the Sciences,11432,5
16,16K688,The Brooklyn Academy of Global Finance,11221,1
28,28Q620,Thomas A. Edison Career and Technical Education High School,11432,6
6,06M463,High School for Media and Communications,10040,1
6,06M463,High School for Media and Communications,10040,2
6,06M463,High School for Media and Communications,10040,2
6,06M468,High School for Health Careers and Sciences,10040,1
6,06M468,High School for Health Careers and Sciences,10040,2
6,06M468,High School for Health Careers and Sciences,10040,2
6,06M462,The College Academy,10040,1
6,06M462,The College Academy,10040,2
6,06M462,The College Academy,10040,2
